Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Direction,FloorCount,WalkScore,SchoolNearby,HospitalNearby,PublicTransport,PropertyCondition,HeatingType,GarageType,RenovatedYear
Coburg,5,t,741830.0,S,hockingstuart,7/5/2017,7.8,3158,1.0,,3.0,114.3,,1863.0,Yarra,-37.8058,144.724,Western Metropolitan,1351,NE,4.0,42.0,No,Yes,No,Good,Electric,Single,
Moonee Ponds,1,t,1166004.0,S,Biggin,18/6/2016,17.6,3189,6.0,2.0,,,,,Boroondara,-37.65,145.1916,Western Metropolitan,3208,SW,4.0,53.0,,,Yes,Excellent,,,
Essendon,2,t,2590919.0,VB,Barry,3/12/2016,23.4,3183,1.0,2.0,4.0,,170.1,2016.0,Moreland,-37.8332,144.8234,Eastern Metropolitan,4368,N,2.0,91.0,Yes,No,Yes,Good,,Carport,
South Yarra,5,h,1843786.0,VB,Marshall,3/12/2016,2.9,3010,4.0,1.0,5.0,,,1998.0,Port Phillip,-37.8622,145.0626,Southern Metropolitan,11870,,1.0,69.0,No,Yes,Yes,Good,Electric,Carport,
South Yarra,6,t,677244.0,SA,Biggin,7/5/2017,2.5,3153,6.0,3.0,,347.3,187.3,,Port Phillip,-37.6318,144.7132,Southern Metropolitan,25858,NW,1.0,88.0,Yes,No,Yes,,,,
South Yarra,5,h,754677.0,S,Marshall,3/12/2016,6.3,3219,4.0,4.0,0.0,2544.8,108.8,1967.0,Moreland,-37.6495,145.0917,Northern Metropolitan,8009,W,4.0,85.0,No,No,No,Good,Solar,None,
Hawthorn,3,t,1066698.0,S,Marshall,1/9/2018,10.3,3154,6.0,4.0,3.0,1957.4,135.0,2011.0,Moonee Valley,-37.5972,145.0753,Eastern Metropolitan,9034,NE,4.0,93.0,Yes,Yes,Yes,Poor,,Carport,
Essendon,2,h,768895.0,VB,Marshall,3/12/2016,16.2,3082,4.0,1.0,1.0,135.0,,,Moonee Valley,-37.7194,144.7421,Eastern Metropolitan,16183,NE,3.0,89.0,No,,Yes,Average,Solar,Carport,2016.0
Hawthorn,3,t,,VB,Biggin,1/9/2018,18.1,3184,6.0,2.0,0.0,,,1901.0,Moonee Valley,-37.5913,144.7613,Western Metropolitan,2286,SW,2.0,52.0,Yes,Yes,No,Excellent,Electric,Single,
Malvern,2,u,,VB,Barry,3/12/2016,6.6,3108,6.0,1.0,2.0,,,1994.0,Darebin,-37.9394,144.8476,Southern Metropolitan,19787,SW,4.0,56.0,No,No,No,Average,Electric,Carport,2010.0
Hawthorn,3,t,,SP,Nelson,4/2/2017,24.2,3026,3.0,3.0,5.0,2000.3,,1877.0,Moreland,-37.8485,144.8773,South-Eastern Metropolitan,13363,E,3.0,,Yes,No,Yes,Average,,Double,2011.0
Richmond,5,t,1181515.0,PI,Barry,3/12/2016,21.7,3186,4.0,,,140.0,584.2,1862.0,Darebin,-37.6282,145.0917,Eastern Metropolitan,9473,N,,73.0,No,Yes,Yes,Poor,,Single,1999.0
Essendon,5,h,2459821.0,PI,Biggin,1/9/2018,11.7,3061,3.0,1.0,3.0,,,1879.0,Moonee Valley,-37.7805,144.7306,Eastern Metropolitan,4248,S,2.0,86.0,Yes,No,Yes,Poor,Gas,Single,
Reservoir,1,h,1042330.0,S,Nelson,3/12/2016,2.5,3147,6.0,3.0,,,,1957.0,Boroondara,-37.8542,145.0251,Western Metropolitan,7146,SE,3.0,72.0,No,No,No,Poor,Gas,,1994.0
Essendon,6,t,530539.0,SP,Nelson,3/12/2016,4.6,3130,2.0,2.0,,1166.4,,1932.0,Moonee Valley,-37.6315,144.8143,South-Eastern Metropolitan,23593,NE,4.0,91.0,No,No,No,Good,Solar,,
Coburg,3,u,1992955.0,VB,Nelson,3/12/2016,14.9,3143,6.0,4.0,,1019.5,461.8,1933.0,Yarra,-37.6211,144.8912,South-Eastern Metropolitan,1838,SE,,55.0,Yes,Yes,No,Excellent,,,2005.0
Richmond,4,u,516150.0,S,hockingstuart,1/9/2018,,3102,2.0,3.0,2.0,,,,Boroondara,-37.7675,144.7011,South-Eastern Metropolitan,23667,E,3.0,93.0,No,Yes,No,Poor,Electric,Double,2008.0
South Yarra,1,h,2095964.0,SP,Biggin,3/12/2016,14.4,3043,2.0,4.0,5.0,2608.0,,,Boroondara,-37.7634,144.8456,South-Eastern Metropolitan,5806,W,4.0,,No,Yes,Yes,Poor,Solar,Double,
Coburg,3,u,2790410.0,SA,hockingstuart,7/5/2017,22.7,3092,2.0,3.0,4.0,,325.9,2004.0,Moreland,-37.6376,144.7857,Southern Metropolitan,4296,,,53.0,No,Yes,No,,None,Carport,2014.0
Coburg,3,t,739415.0,SP,Nelson,7/5/2017,20.1,3206,2.0,2.0,2.0,347.8,,1938.0,Darebin,-37.6415,144.952,Northern Metropolitan,19754,S,,40.0,No,No,,Excellent,None,Single,2001.0
Malvern,1,h,2222158.0,S,hockingstuart,1/9/2018,9.6,3029,4.0,1.0,,,,2000.0,Yarra,-37.6034,144.7791,South-Eastern Metropolitan,17575,N,2.0,96.0,Yes,Yes,Yes,Average,Gas,,
St Kilda,5,t,896012.0,PI,hockingstuart,4/2/2017,13.3,3167,5.0,,,,,1901.0,Boroondara,-37.6918,145.1179,Northern Metropolitan,4378,E,4.0,,,Yes,Yes,Poor,,Carport,1997.0
Collingwood,3,h,1885765.0,VB,Biggin,7/5/2017,22.3,3118,4.0,1.0,0.0,2737.4,467.1,,Darebin,-37.8756,145.1415,Northern Metropolitan,4416,SW,2.0,72.0,Yes,No,Yes,,Solar,,1992.0
Richmond,5,h,974857.0,SA,Marshall,18/6/2016,30.4,3192,5.0,1.0,2.0,,,1939.0,Darebin,-37.7301,145.1226,Western Metropolitan,1158,N,4.0,,Yes,No,No,Good,Solar,Single,
Coburg,1,h,2835181.0,SP,hockingstuart,7/5/2017,26.9,3028,4.0,3.0,2.0,1549.3,,1926.0,Yarra,-37.797,145.1909,South-Eastern Metropolitan,25259,,3.0,30.0,Yes,Yes,Yes,Excellent,Gas,,2021.0
Collingwood,5,h,,S,hockingstuart,18/6/2016,20.3,3029,2.0,1.0,,440.3,82.3,1879.0,Yarra,-37.9392,145.1573,Southern Metropolitan,26279,NE,2.0,78.0,Yes,Yes,Yes,,,,
Collingwood,2,u,2697316.0,S,Nelson,1/9/2018,14.0,3103,1.0,1.0,,2711.7,,1906.0,Moonee Valley,-37.8714,144.8399,Western Metropolitan,22303,NW,4.0,77.0,No,Yes,No,Good,,Carport,2008.0
Richmond,4,t,2590086.0,VB,Nelson,4/2/2017,14.0,3109,6.0,3.0,,2262.0,178.7,1883.0,Moonee Valley,,144.8572,Western Metropolitan,6433,SE,,82.0,Yes,No,No,Good,Gas,Double,
St Kilda,3,t,2255534.0,S,Nelson,18/6/2016,,3031,5.0,,,2776.3,,,,-37.9171,144.9663,Northern Metropolitan,27220,E,4.0,40.0,No,Yes,No,,Electric,,
Northcote,6,t,382659.0,S,Barry,18/6/2016,3.3,3137,1.0,2.0,,,,1882.0,Boroondara,-37.7687,144.8925,Eastern Metropolitan,18587,W,3.0,38.0,Yes,Yes,Yes,Good,None,Single,
Moonee Ponds,4,h,2848475.0,VB,hockingstuart,7/5/2017,34.6,3218,2.0,3.0,4.0,594.8,512.1,1988.0,,-37.7468,145.185,Southern Metropolitan,21315,NW,3.0,90.0,Yes,Yes,Yes,Good,Gas,None,
Reservoir,5,u,889872.0,SA,Nelson,18/6/2016,23.9,3050,5.0,4.0,2.0,959.4,89.6,1982.0,Moonee Valley,-37.814,144.8698,South-Eastern Metropolitan,11944,NW,3.0,,Yes,No,No,,None,Carport,
Moonee Ponds,3,t,2339237.0,PI,Biggin,1/9/2018,24.5,3135,1.0,2.0,5.0,,,,Boroondara,-37.7851,145.07,South-Eastern Metropolitan,22444,NE,1.0,73.0,Yes,,Yes,Excellent,None,Single,
Essendon,5,u,997108.0,PI,Barry,1/9/2018,3.3,3178,4.0,2.0,,1841.4,171.6,1925.0,Boroondara,-37.7302,144.9877,Southern Metropolitan,902,SW,2.0,59.0,,No,Yes,Excellent,Electric,Double,1999.0
South Yarra,2,h,,SP,Marshall,1/9/2018,22.0,3035,2.0,1.0,,2783.1,226.5,1992.0,Moonee Valley,-37.9018,145.1782,South-Eastern Metropolitan,25048,NE,1.0,,Yes,,,Good,Gas,Carport,2014.0
Reservoir,1,t,,SA,hockingstuart,7/5/2017,18.0,3054,4.0,1.0,1.0,,,,Moonee Valley,-37.7251,145.0723,Eastern Metropolitan,16321,W,2.0,84.0,No,No,Yes,Poor,Solar,,
Essendon,3,u,2325838.0,SP,hockingstuart,4/2/2017,5.5,3162,4.0,4.0,4.0,2124.1,113.8,1976.0,Boroondara,-37.666,144.8518,Eastern Metropolitan,24863,SW,4.0,68.0,Yes,,Yes,Excellent,Solar,Single,2011.0
Coburg,2,h,,PI,Biggin,7/5/2017,11.2,3035,2.0,1.0,5.0,2885.0,,,Boroondara,-37.6001,,South-Eastern Metropolitan,8927,NW,1.0,70.0,Yes,Yes,No,Poor,Solar,None,1994.0
South Yarra,2,u,1463865.0,VB,Marshall,1/9/2018,31.4,3055,5.0,3.0,5.0,,,,,-37.8294,,Western Metropolitan,1105,S,1.0,38.0,Yes,No,Yes,Good,Gas,Carport,2022.0
Fitzroy,3,t,,S,Marshall,7/5/2017,20.1,3035,6.0,3.0,5.0,,,,Moreland,-37.651,145.1555,South-Eastern Metropolitan,25298,SE,4.0,,Yes,Yes,No,Excellent,,Double,
Richmond,5,t,517598.0,PI,Barry,1/9/2018,15.6,3088,3.0,1.0,,1291.1,65.2,2011.0,Moonee Valley,-37.7076,145.1155,South-Eastern Metropolitan,24863,E,3.0,32.0,Yes,No,Yes,Poor,None,Single,
Reservoir,6,h,,SA,hockingstuart,3/12/2016,4.4,3211,3.0,1.0,,2210.6,,,Moreland,-37.7489,,Southern Metropolitan,20894,SE,,,No,No,Yes,Excellent,Solar,Single,
Reservoir,2,h,1400997.0,PI,Nelson,3/12/2016,25.6,3188,6.0,3.0,0.0,,393.6,,Moonee Valley,-37.5822,144.8609,Eastern Metropolitan,1122,S,4.0,40.0,Yes,No,Yes,Excellent,,None,2008.0
Camberwell,4,h,,SA,Biggin,18/6/2016,25.2,3061,2.0,,2.0,1035.3,,1898.0,Port Phillip,-37.702,144.9527,Western Metropolitan,28410,N,3.0,,No,No,Yes,Poor,Solar,Carport,
Coburg,2,u,1251452.0,SA,Biggin,4/2/2017,22.3,3108,3.0,4.0,,130.0,,2021.0,,-37.8036,145.1579,Southern Metropolitan,18717,W,,62.0,Yes,Yes,Yes,Poor,Electric,None,
Northcote,6,u,1345687.0,SA,Biggin,3/12/2016,18.8,3208,6.0,4.0,3.0,,541.3,2006.0,,-37.6648,144.7674,Southern Metropolitan,27185,SW,1.0,,Yes,,Yes,Poor,Solar,Single,
Collingwood,5,u,682829.0,SP,Biggin,1/9/2018,16.3,3086,1.0,2.0,0.0,2449.7,75.2,2015.0,Darebin,-37.566,144.9475,Western Metropolitan,26328,E,1.0,74.0,No,No,No,Good,Gas,None,
South Yarra,5,h,466750.0,VB,Nelson,7/5/2017,21.6,3152,6.0,,1.0,327.1,,1950.0,Yarra,-37.5827,144.8778,Western Metropolitan,25314,W,2.0,,,No,Yes,Average,None,Carport,2007.0
Coburg,4,t,,PI,Nelson,7/5/2017,9.7,3063,5.0,1.0,,2998.6,,1973.0,Moreland,-37.5579,145.0387,Southern Metropolitan,28917,W,,66.0,Yes,Yes,Yes,Average,Gas,Single,
Preston,2,t,484000.0,VB,Barry,18/6/2016,33.1,3187,6.0,1.0,,1834.8,545.4,,Moreland,-37.912,145.017,South-Eastern Metropolitan,6345,S,2.0,,Yes,No,No,,Solar,,1995.0
St Kilda,5,u,,S,hockingstuart,7/5/2017,21.4,3056,4.0,1.0,2.0,2568.5,,1894.0,Port Phillip,-37.7726,144.98,Western Metropolitan,6208,S,3.0,87.0,No,,No,Poor,Electric,Single,2011.0
Collingwood,6,u,2855221.0,PI,Nelson,3/12/2016,12.3,3112,4.0,4.0,3.0,,550.6,1943.0,Moreland,-37.7769,144.8398,Northern Metropolitan,23585,SW,4.0,80.0,No,Yes,Yes,Poor,Solar,None,
Richmond,3,t,,VB,Barry,7/5/2017,16.8,3069,2.0,2.0,3.0,1198.9,265.5,,Yarra,-37.7965,144.7798,Western Metropolitan,23783,N,3.0,,No,No,No,Good,None,,
Collingwood,1,t,1360178.0,VB,Marshall,3/12/2016,28.6,3179,4.0,1.0,4.0,2025.5,395.1,1916.0,Yarra,-37.8786,145.0922,Southern Metropolitan,10265,E,4.0,65.0,Yes,,No,Average,Gas,None,1990.0
Northcote,1,u,2550269.0,S,hockingstuart,3/12/2016,7.3,3183,1.0,2.0,4.0,364.0,277.5,1887.0,Darebin,-37.6171,145.1959,Northern Metropolitan,29778,SW,4.0,79.0,Yes,Yes,,Good,,None,
Malvern,1,u,487069.0,SA,Nelson,4/2/2017,11.7,3190,6.0,3.0,0.0,1492.3,279.5,,,-37.6808,144.7845,Southern Metropolitan,19316,W,,77.0,Yes,No,No,Poor,,Single,
Camberwell,2,t,816510.0,PI,Marshall,18/6/2016,24.4,3195,1.0,3.0,,1355.9,,1924.0,Moonee Valley,-37.7076,144.7379,Eastern Metropolitan,21922,SE,2.0,58.0,,Yes,No,Poor,,Carport,2006.0
Collingwood,4,h,1540894.0,PI,Barry,1/9/2018,12.4,3019,2.0,3.0,2.0,,,,Boroondara,-37.7713,,Eastern Metropolitan,7006,NW,2.0,71.0,Yes,No,No,,Gas,Single,
Richmond,5,u,1888197.0,S,Nelson,3/12/2016,28.2,3053,4.0,4.0,4.0,935.8,,1910.0,Moreland,-37.7946,144.8719,South-Eastern Metropolitan,26240,SE,3.0,88.0,No,No,,,None,Carport,1997.0
Northcote,3,t,958092.0,SA,Nelson,18/6/2016,6.3,3000,3.0,4.0,5.0,2903.0,,1950.0,Darebin,-37.6354,144.8065,Western Metropolitan,13359,N,1.0,84.0,Yes,Yes,No,Poor,,,
Moonee Ponds,6,t,1347996.0,PI,Marshall,1/9/2018,27.2,3089,6.0,1.0,1.0,901.5,426.3,,Darebin,-37.7393,144.9626,Southern Metropolitan,9668,SW,2.0,,No,Yes,Yes,Good,,Single,
Reservoir,3,t,849792.0,PI,Nelson,7/5/2017,4.3,3137,3.0,3.0,2.0,679.6,,1925.0,Darebin,-37.7069,145.0376,Northern Metropolitan,9651,W,2.0,51.0,No,Yes,Yes,Good,Electric,Carport,2019.0
Malvern,6,t,1825326.0,PI,Biggin,18/6/2016,2.4,3150,5.0,2.0,3.0,1631.8,583.0,1992.0,Darebin,-37.91,144.8074,Western Metropolitan,22455,SW,2.0,31.0,Yes,No,No,,,None,1998.0
Camberwell,2,h,2618756.0,SA,Nelson,18/6/2016,31.6,3178,2.0,4.0,,2029.3,409.7,,Moreland,,145.1973,South-Eastern Metropolitan,11870,SE,,,Yes,Yes,Yes,Good,None,,
Reservoir,1,t,873607.0,S,hockingstuart,18/6/2016,21.2,3112,5.0,,,,150.4,1922.0,Darebin,-37.8979,144.8641,Southern Metropolitan,2834,N,1.0,70.0,Yes,No,Yes,Average,,Carport,
St Kilda,2,u,914635.0,PI,Marshall,7/5/2017,13.6,3151,3.0,2.0,,,460.3,,Moreland,-37.9285,144.8575,Southern Metropolitan,29162,W,2.0,40.0,No,Yes,No,Good,None,Double,1991.0
Essendon,4,h,,VB,hockingstuart,7/5/2017,,3012,3.0,1.0,,158.7,137.3,1910.0,Darebin,-37.6743,144.9115,Eastern Metropolitan,20308,S,1.0,53.0,No,No,No,,Solar,Double,2016.0
Malvern,4,t,2346836.0,SA,Barry,18/6/2016,22.4,3156,3.0,1.0,4.0,,,,Darebin,-37.8401,145.0725,South-Eastern Metropolitan,22913,NE,2.0,55.0,No,Yes,No,Poor,,None,2007.0
Malvern,6,h,918629.0,SP,hockingstuart,4/2/2017,18.8,3185,,2.0,,2333.2,335.4,,Boroondara,-37.564,145.1366,Southern Metropolitan,11976,N,,64.0,No,Yes,No,Average,None,,
Moonee Ponds,5,u,1952457.0,S,Biggin,3/12/2016,34.7,3109,2.0,2.0,0.0,,,,Moonee Valley,-37.7078,144.862,Eastern Metropolitan,16457,N,1.0,34.0,No,,Yes,Poor,,Single,1991.0
Moonee Ponds,5,t,1421248.0,VB,Biggin,7/5/2017,34.4,3090,6.0,2.0,4.0,,145.8,1924.0,Yarra,-37.6919,144.7594,Eastern Metropolitan,17770,NE,2.0,44.0,Yes,No,No,Average,,,2020.0
South Yarra,6,u,1633640.0,PI,hockingstuart,4/2/2017,23.0,3094,6.0,2.0,4.0,,,1921.0,Yarra,-37.8713,144.8281,Northern Metropolitan,9385,S,3.0,43.0,No,Yes,No,Poor,Solar,,2014.0
Hawthorn,4,t,763953.0,SP,Barry,7/5/2017,16.6,3042,1.0,3.0,2.0,1220.1,,2017.0,Yarra,-37.8984,144.7421,South-Eastern Metropolitan,8872,N,3.0,66.0,Yes,,Yes,Poor,None,,
Collingwood,4,t,2107561.0,S,Nelson,18/6/2016,18.2,3137,1.0,2.0,,269.0,,1949.0,,-37.7398,145.0152,South-Eastern Metropolitan,26264,S,,47.0,No,No,Yes,Excellent,Electric,Carport,
Malvern,4,t,2764734.0,SA,Biggin,4/2/2017,24.5,3158,3.0,4.0,4.0,2258.2,127.1,,Moreland,-37.5798,145.0703,Southern Metropolitan,20051,SE,2.0,96.0,Yes,,No,Poor,None,Single,1996.0
Reservoir,2,t,294036.0,SP,hockingstuart,1/9/2018,5.4,3073,2.0,1.0,,,595.8,,Yarra,-37.9277,,Northern Metropolitan,28150,,3.0,75.0,No,Yes,Yes,Poor,None,Carport,2003.0
Richmond,4,t,1447017.0,SP,hockingstuart,3/12/2016,12.8,3215,2.0,4.0,3.0,597.9,,1966.0,Yarra,-37.7467,145.1764,Western Metropolitan,18396,SE,4.0,97.0,No,Yes,No,Good,Solar,,
Brunswick,3,h,2490019.0,VB,hockingstuart,3/12/2016,4.5,3013,4.0,,,,,,Yarra,-37.8705,145.0638,Southern Metropolitan,28352,SE,3.0,86.0,,No,No,Good,,None,2022.0
Hawthorn,1,t,619349.0,S,Nelson,7/5/2017,4.4,3098,,1.0,5.0,1414.8,,,Moreland,-37.6372,144.8898,Eastern Metropolitan,27518,NW,,69.0,No,No,Yes,Average,,,
Brunswick,4,t,935503.0,VB,Marshall,3/12/2016,8.5,3108,5.0,1.0,,1249.1,,1936.0,Moonee Valley,,144.7511,Western Metropolitan,8421,W,,74.0,No,Yes,No,Excellent,Electric,,
Camberwell,6,h,672641.0,VB,Barry,1/9/2018,18.0,3161,4.0,4.0,,1417.0,256.3,,Moonee Valley,-37.9111,144.9469,Western Metropolitan,4893,NW,3.0,45.0,Yes,No,No,Average,Electric,Single,
Northcote,1,h,2173217.0,PI,Marshall,4/2/2017,27.9,3144,,1.0,4.0,,,,Port Phillip,-37.7035,,Southern Metropolitan,23722,,3.0,91.0,No,Yes,No,Good,Electric,Carport,
Reservoir,2,h,587283.0,SA,Barry,4/2/2017,18.0,3148,6.0,2.0,1.0,1139.3,282.4,,Port Phillip,-37.5566,144.9753,Northern Metropolitan,1689,SW,,52.0,Yes,No,No,Average,,None,2008.0
Reservoir,6,h,1828232.0,SP,Barry,18/6/2016,13.1,3095,5.0,2.0,,,,,,-37.7387,145.0412,South-Eastern Metropolitan,12427,SW,1.0,,Yes,,No,,Electric,Carport,
Hawthorn,1,h,833117.0,S,hockingstuart,4/2/2017,,3194,1.0,3.0,5.0,944.9,569.1,1879.0,Boroondara,-37.8358,144.8322,Northern Metropolitan,4476,SW,2.0,30.0,Yes,No,Yes,Good,Solar,None,
Malvern,6,h,641180.0,SA,Biggin,7/5/2017,,3057,3.0,3.0,,1093.2,,,,-37.8891,144.7012,Southern Metropolitan,5504,W,2.0,,,No,Yes,Average,,,
St Kilda,2,t,1752086.0,SA,hockingstuart,1/9/2018,11.0,3206,2.0,3.0,2.0,1860.7,96.9,,Moreland,-37.5541,145.1064,South-Eastern Metropolitan,22345,NE,2.0,33.0,No,Yes,No,Good,Gas,Double,2017.0
Hawthorn,3,t,883718.0,S,Nelson,18/6/2016,22.3,3135,1.0,2.0,2.0,1497.0,507.2,1976.0,,-37.7245,145.1118,Western Metropolitan,12165,SE,,84.0,,No,No,Good,None,Double,
Brunswick,2,u,2747934.0,SA,Barry,7/5/2017,34.2,3095,,4.0,2.0,2183.0,,1970.0,Moonee Valley,-37.8001,145.1558,Eastern Metropolitan,4578,E,1.0,39.0,No,No,Yes,Excellent,,None,1995.0
Hawthorn,2,t,2359458.0,PI,Biggin,7/5/2017,5.7,3037,1.0,3.0,0.0,1703.6,,1989.0,Darebin,-37.8643,145.1845,Northern Metropolitan,10879,SE,,59.0,No,,No,Excellent,Solar,,
Reservoir,6,t,,SA,Barry,7/5/2017,9.0,3153,,2.0,,2420.5,,1979.0,Port Phillip,-37.5699,144.7796,South-Eastern Metropolitan,22247,S,1.0,43.0,Yes,No,,Good,None,Single,
St Kilda,5,h,274042.0,PI,Barry,3/12/2016,17.6,3063,3.0,1.0,,1358.1,,1993.0,Yarra,-37.6992,144.8769,Northern Metropolitan,6609,SE,2.0,59.0,No,No,No,Good,,Carport,2000.0
Collingwood,4,h,,SP,hockingstuart,7/5/2017,34.0,3157,6.0,4.0,0.0,1498.5,,1942.0,Darebin,-37.9269,145.1257,South-Eastern Metropolitan,12066,E,4.0,34.0,,No,No,Poor,None,,2002.0
Preston,4,t,2960864.0,SP,Biggin,3/12/2016,27.5,3008,5.0,,,,,1987.0,Port Phillip,-37.9262,145.167,Eastern Metropolitan,27873,E,3.0,,,Yes,Yes,,,Single,
South Yarra,3,u,997410.0,VB,Biggin,4/2/2017,31.6,3120,1.0,2.0,0.0,702.7,,1967.0,Darebin,-37.5742,144.7073,Southern Metropolitan,18118,S,4.0,46.0,Yes,No,No,Good,Electric,Double,
Fitzroy,3,h,399395.0,PI,Barry,3/12/2016,13.0,3031,2.0,2.0,,1188.5,,1943.0,Moonee Valley,-37.666,144.8938,Southern Metropolitan,10344,,,77.0,Yes,Yes,No,Excellent,Gas,Carport,
Moonee Ponds,4,t,,SP,Biggin,7/5/2017,34.7,3010,4.0,1.0,0.0,,,1997.0,Boroondara,-37.9086,144.7567,South-Eastern Metropolitan,509,E,4.0,54.0,Yes,No,No,Good,None,None,
Hawthorn,5,t,1185783.0,SA,Biggin,1/9/2018,5.4,3213,5.0,1.0,,135.2,,2011.0,Darebin,-37.7005,145.0942,South-Eastern Metropolitan,15732,N,1.0,48.0,No,Yes,Yes,Excellent,Solar,,
Camberwell,4,u,1607719.0,S,hockingstuart,1/9/2018,3.7,3161,6.0,1.0,,1339.1,,,Moonee Valley,-37.7822,145.0736,Southern Metropolitan,5548,SE,2.0,,Yes,Yes,No,Excellent,Electric,Single,
Essendon,5,u,,S,Marshall,4/2/2017,30.2,3104,1.0,4.0,3.0,1816.6,309.4,1978.0,Yarra,-37.6345,145.0772,Western Metropolitan,20455,W,3.0,82.0,Yes,,,Poor,Electric,None,
Northcote,3,h,2015520.0,PI,Nelson,7/5/2017,32.6,3145,4.0,4.0,0.0,2903.8,553.0,1953.0,,-37.8405,144.8951,Western Metropolitan,29242,NW,3.0,68.0,No,No,Yes,Good,Gas,,2016.0
Preston,1,u,2198010.0,VB,Marshall,3/12/2016,5.0,3146,4.0,3.0,0.0,2637.2,362.2,1968.0,Darebin,-37.7969,144.9031,Western Metropolitan,7786,,3.0,,Yes,No,No,Excellent,Gas,Single,
South Yarra,6,t,1742017.0,SA,Biggin,1/9/2018,5.7,3181,1.0,3.0,3.0,878.2,,,,-37.883,144.8309,Eastern Metropolitan,4202,NE,4.0,69.0,No,No,No,Good,Gas,None,
South Yarra,3,t,1991888.0,PI,Barry,18/6/2016,,3081,3.0,3.0,5.0,1546.3,,,Port Phillip,-37.849,144.8804,South-Eastern Metropolitan,15742,SE,2.0,87.0,No,Yes,Yes,Average,None,None,
South Yarra,3,u,1991599.0,S,Nelson,7/5/2017,5.4,3036,1.0,,4.0,,,,Port Phillip,-37.8743,145.1915,Northern Metropolitan,16296,S,3.0,35.0,Yes,Yes,,,,Single,
South Yarra,2,u,372019.0,PI,Nelson,7/5/2017,8.9,3081,6.0,1.0,2.0,,469.8,,Port Phillip,-37.9403,144.7233,Northern Metropolitan,10999,NE,,,Yes,Yes,,Poor,Electric,Carport,2005.0
Brunswick,2,u,621852.0,SA,Barry,18/6/2016,34.0,3011,2.0,3.0,4.0,2335.8,581.6,2006.0,Moreland,,144.862,South-Eastern Metropolitan,29399,NW,1.0,97.0,Yes,Yes,No,Average,Gas,Carport,
Camberwell,2,u,,SP,Nelson,1/9/2018,24.0,3003,6.0,1.0,5.0,,,,Boroondara,-37.6158,145.095,Southern Metropolitan,15280,W,3.0,53.0,No,Yes,Yes,Average,None,Carport,
Camberwell,6,h,429001.0,SA,Barry,18/6/2016,27.7,3042,,1.0,2.0,810.2,283.6,2017.0,Yarra,-37.6285,144.8912,South-Eastern Metropolitan,22984,NE,,48.0,Yes,No,No,Good,Electric,Single,2019.0
St Kilda,2,u,934494.0,SP,Nelson,4/2/2017,27.6,3154,2.0,1.0,1.0,2834.9,276.0,,Port Phillip,-37.8937,145.175,Western Metropolitan,24649,,,88.0,Yes,No,Yes,Poor,Electric,Single,2008.0
Moonee Ponds,5,h,843731.0,SP,Marshall,3/12/2016,19.7,3050,,3.0,2.0,2480.4,199.8,,Yarra,-37.6828,144.8661,Western Metropolitan,17661,SW,4.0,90.0,Yes,No,,Poor,,None,2016.0
Reservoir,4,t,,SP,Nelson,3/12/2016,28.3,3004,4.0,3.0,4.0,2356.4,,1941.0,Yarra,-37.6517,145.1249,Northern Metropolitan,14026,NE,3.0,61.0,No,No,Yes,,,None,2018.0
South Yarra,1,u,910187.0,PI,hockingstuart,1/9/2018,21.7,3133,3.0,1.0,,2600.4,,,Moreland,-37.9295,145.1075,South-Eastern Metropolitan,6008,E,,,No,Yes,Yes,,,None,
Essendon,3,h,346143.0,S,Barry,18/6/2016,12.4,3204,1.0,3.0,,2261.3,,1919.0,Yarra,-37.9146,144.7046,Northern Metropolitan,15075,E,2.0,,Yes,No,No,Good,Solar,,1990.0
Reservoir,5,u,394771.0,PI,Nelson,7/5/2017,20.5,3086,,,1.0,,,2010.0,Moreland,-37.7248,144.9015,Southern Metropolitan,4975,W,4.0,83.0,No,No,Yes,Poor,Electric,,2010.0
Camberwell,1,t,1270332.0,S,Barry,7/5/2017,19.6,3105,6.0,3.0,,,144.8,,Boroondara,-37.8003,144.8403,Eastern Metropolitan,2879,,4.0,31.0,Yes,No,No,Good,Gas,,
Richmond,5,t,1805289.0,SA,hockingstuart,7/5/2017,29.2,3055,2.0,1.0,1.0,1360.5,,,Moreland,-37.6702,144.9398,Eastern Metropolitan,9617,E,1.0,74.0,Yes,Yes,Yes,Good,Electric,None,
Richmond,5,t,1258923.0,VB,Nelson,4/2/2017,34.4,3216,5.0,1.0,3.0,967.9,250.9,,Boroondara,-37.7269,144.9314,Southern Metropolitan,20524,NE,3.0,62.0,Yes,,Yes,Poor,,Single,
Essendon,3,u,2070908.0,SA,Nelson,4/2/2017,15.6,3109,3.0,4.0,4.0,,,1898.0,Boroondara,-37.9376,145.1528,Western Metropolitan,27540,N,,,No,No,,,Gas,,2017.0
St Kilda,4,u,910673.0,PI,hockingstuart,7/5/2017,27.2,3067,1.0,,3.0,1419.2,,,,-37.6765,144.7918,Western Metropolitan,8856,NE,2.0,65.0,No,Yes,No,,Solar,,2009.0
